"Action","Action"
"Add ProductTypes","Add ProductTypes"
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"CSV","CSV"
"Change status","Change status"
"Could not find producttypes to delete.","Could not find producttypes to delete."
"Delete ProductTypes","Delete ProductTypes"
"Delete","Delete"
"Disabled","Disabled"
"Edit ProductTypes '%s'","Edit ProductTypes '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select producttypes to delete.","Please select producttypes to delete."
"Please select producttypes.","Please select producttypes."
"Position","Position"
"Product Type","Product Type"
"ProductTypes was successfully deleted.","ProductTypes was successfully deleted."
"ProductTypes was successfully saved","ProductTypes was successfully saved"
"ProductTypes","ProductTypes"
"Save And Continue Edit","Save And Continue Edit"
"Save ProductTypes","Save ProductTypes"
"Status","Status"
"Store views","Store views"
"There was a problem saving the producttypes.","There was a problem saving the producttypes."
"There was an error deleteing producttypes.","There was an error deleteing producttypes."
"There was an error updating producttypes.","There was an error updating producttypes."
"This producttypes no longer exists.","This producttypes no longer exists."
"Total of %d producttypes were successfully deleted.","Total of %d producttypes were successfully deleted."
"Total of %d producttypes were successfully updated.","Total of %d producttypes were successfully updated."
"Unable to find producttypes to save.","Unable to find producttypes to save."
"XML","XML"
"Yes","Yes"
