"Action","Action"
"Add Purchase Order","Add Purchase Order"
"Address 2","Address 2"
"Address","Address"
"Adjustment","Adjustment"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Club","Club"
"Could not find purchase order to delete.","Could not find purchase order to delete."
"Delete Purchase Order","Delete Purchase Order"
"Delete","Delete"
"Deliver Date","Deliver Date"
"Delivery Method","Delivery Method"
"Disabled","Disabled"
"Edit Purchase Order '%s'","Edit Purchase Order '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Excel","Excel"
"Freight","Freight"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Note","Note"
"Order Status","Order Status"
"Other Fee","Other Fee"
"PO Issued Date","PO Issued Date"
"PO Number","PO Number"
"Phone","Phone"
"Please select purchase orders to delete.","Please select purchase orders to delete."
"Please select purchase orders.","Please select purchase orders."
"Purchase Order was successfully deleted.","Purchase Order was successfully deleted."
"Purchase Order was successfully saved","Purchase Order was successfully saved"
"Purchase Order","Purchase Order"
"Purchase Orders","Purchase Orders"
"Save And Continue Edit","Save And Continue Edit"
"Save Purchase Order","Save Purchase Order"
"Ship To","Ship To"
"Status","Status"
"Store views","Store views"
"Sub Total","Sub Total"
"Tax","Tax"
"Terms","Terms"
"There was a problem saving the purchase order.","There was a problem saving the purchase order."
"There was an error deleteing purchase order.","There was an error deleteing purchase order."
"There was an error deleteing purchase orders.","There was an error deleteing purchase orders."
"There was an error updating purchase orders.","There was an error updating purchase orders."
"This purchase order no longer exists.","This purchase order no longer exists."
"Total of %d purchase orders were successfully deleted.","Total of %d purchase orders were successfully deleted."
"Total of %d purchase orders were successfully updated.","Total of %d purchase orders were successfully updated."
"Unable to find purchase order to save.","Unable to find purchase order to save."
"XML","XML"
"Yes","Yes"
