"Action","Action"
"Add Purchase Order Item","Add Purchase Order Item"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Cost Order No.","Cost Order No."
"Could not find purchase order item to delete.","Could not find purchase order item to delete."
"Delete Purchase Order Item","Delete Purchase Order Item"
"Delete","Delete"
"Disabled","Disabled"
"Edit Purchase Order Item '%s'","Edit Purchase Order Item '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Item Cost","Item Cost"
"No","No"
"None","None"
"Please select purchase order items to delete.","Please select purchase order items to delete."
"Please select purchase order items.","Please select purchase order items."
"Purchase Order Item was successfully deleted.","Purchase Order Item was successfully deleted."
"Purchase Order Item was successfully saved","Purchase Order Item was successfully saved"
"Purchase Order Item","Purchase Order Item"
"Purchase Order Items","Purchase Order Items"
"Qty","Qty"
"Receive Qty.","Receive Qty."
"Save And Continue Edit","Save And Continue Edit"
"Save Purchase Order Item","Save Purchase Order Item"
"Status","Status"
"Store views","Store views"
"There was a problem saving the purchase order item.","There was a problem saving the purchase order item."
"There was an error deleteing purchase order item.","There was an error deleteing purchase order item."
"There was an error deleteing purchase order items.","There was an error deleteing purchase order items."
"There was an error updating purchase order items.","There was an error updating purchase order items."
"This purchase order item no longer exists.","This purchase order item no longer exists."
"Total of %d purchase order items were successfully deleted.","Total of %d purchase order items were successfully deleted."
"Total of %d purchase order items were successfully updated.","Total of %d purchase order items were successfully updated."
"Unable to find purchase order item to save.","Unable to find purchase order item to save."
"XML","XML"
"Yes","Yes"
